ID,X,Y,Z,Gradient_X,Gradient_Y,Gradient_Z,Magnitude
0,0,0,0,-87.9181,528.014,-17.9594,535.585
1,1,0,0,-30.3722,105.528,38.6928,116.429
2,2,0,0,26.3493,1218.12,-14.3954,1218.49
3,3,0,0,-15.7168,2007.54,-0.0813101,2007.6
4,4,0,0,-19.399,316.211,1.35448,316.808
5,5,0,0,58.5907,552.338,52.06,557.872
6,6,0,0,14.0694,896.237,0.8441,896.348
7,7,0,0,-38.5387,849.43,-29.8721,850.828
8,8,0,0,-18.0263,1042.96,-3.3404,1043.12
9,9,0,0,-22.74,394.969,60.9045,400.284
10,10,0,0,-8.69531,253.551,41.1434,257.015
11,11,0,0,4.14891,141.199,4.04052,141.318
12,12,0,0,20.6086,291.632,-4.37639,292.392
13,13,0,0,18.7709,537.519,-24.1836,538.39
14,14,0,0,-18.6901,593.15,-5.76934,593.473
15,15,0,0,-24.2081,70.3495,4.11083,74.5116
16,16,0,0,-2.32282,1.70976,0.104585,2.88612
17,17,0,0,1.26866,1.17291,0.0,1.72778
18,18,0,0,9.91148,87.056,-2.28228,87.6481
19,19,0,0,11.2473,613.076,-13.7727,613.333
20,20,0,0,-7.00627,774.174,-13.2433,774.319
21,21,0,0,-10.5081,179.702,-4.21167,180.058
22,22,0,0,54.2415,141.611,-0.0050301,151.644
23,23,0,0,92.7011,942.415,2.03988,946.965
24,24,0,0,75.1245,1356.65,-0.237272,1358.73
25,0,1,0,-510.405,197.147,42.5533,548.809
26,1,1,0,314.679,260.653,297.76,505.593
27,2,1,0,977.355,1372.02,-230.677,1700.26
28,3,1,0,-466.67,1688.7,-2.59603,1751.99
29,4,1,0,-746.999,388.076,93.7345,846.993
30,5,1,0,348.604,728.927,124.405,817.518
31,6,1,0,162.615,451.839,6.88972,480.26
32,7,1,0,34.8207,749.251,-620.338,973.35
33,8,1,0,-245.257,659.29,-75.8357,707.506
34,9,1,0,-417.442,922.842,863.809,1331.19
35,10,1,0,-135.58,908.877,320.327,973.164
36,11,1,0,23.1891,546.675,269.695,610.022
37,12,1,0,218.769,496.418,274.544,608.0
38,13,1,0,169.53,320.888,-258.129,445.354
39,14,1,0,-252.275,302.356,46.8861,396.561
40,15,1,0,-319.928,36.1179,94.8253,335.635
41,16,1,0,-36.9111,82.0704,4.32841,90.0929
42,17,1,0,43.9418,55.713,7.96432,71.402
43,18,1,0,315.863,114.689,-72.4445,343.76
44,19,1,0,354.806,636.192,-338.092,803.078
45,20,1,0,-223.693,633.588,-269.891,724.095
46,21,1,0,-326.789,249.941,-81.3889,419.387
47,22,1,0,435.598,237.189,57.6971,499.333
48,23,1,0,700.221,451.52,-1.32367,833.175
49,24,1,0,489.36,595.211,-1.93667,770.554
50,0,2,0,39.0938,-138.521,168.901,221.91
51,1,2,0,1144.5,1374.02,-157.636,1795.18
52,2,2,0,1454.39,613.628,-365.663,1620.34
53,3,2,0,-999.665,-407.42,-4.31197,1079.51
54,4,2,0,-979.168,69.0247,42.337,982.511
55,5,2,0,122.354,85.9654,-36.9033,154.021
56,6,2,0,34.3939,-279.803,178.833,333.847
57,7,2,0,168.912,-183.036,24.7481,250.291
58,8,2,0,155.565,198.397,369.223,447.087
59,9,2,0,226.848,679.23,-491.982,868.826
60,10,2,0,-384.863,618.365,-435.739,848.742
61,11,2,0,-408.311,254.45,792.759,927.324
62,12,2,0,-205.179,8.20765,891.936,915.268
63,13,2,0,-175.29,-237.841,323.46,438.089
64,14,2,0,-303.46,-283.884,144.724,440.026
65,15,2,0,-244.494,108.362,153.274,308.241
66,16,2,0,17.2723,302.767,-15.9471,303.678
67,17,2,0,33.8874,240.692,84.5863,257.363
68,18,2,0,590.391,131.575,44.8356,606.534
69,19,2,0,530.146,-135.03,-304.243,625.98
70,20,2,0,-393.258,-142.062,19.1348,418.568
71,21,2,0,-406.907,493.588,-69.4301,643.446
72,22,2,0,255.821,319.32,41.1403,411.22
73,23,2,0,450.722,-454.502,18.1572,640.353
74,24,2,0,362.505,-694.846,-1.72844,783.724
75,0,3,0,2514.67,-99.2445,67.6577,2517.54
76,1,3,0,1066.83,917.967,-175.163,1418.26
77,2,3,0,-804.081,-571.742,-22.8282,986.893
78,3,3,0,-1011.27,-1374.72,320.586,1736.47
79,4,3,0,-253.614,-45.1887,-276.973,378.254
80,5,3,0,-0.223731,-401.823,-65.944,407.198
81,6,3,0,-106.386,-216.312,776.703,813.25
82,7,3,0,513.02,-561.482,1290.88,1498.27
83,8,3,0,617.009,-217.713,379.267,756.268
84,9,3,0,2.52607,-436.096,-681.731,809.286
85,10,3,0,-560.36,-783.246,-445.449,1061.09
86,11,3,0,-586.968,-324.505,727.545,989.524
87,12,3,0,-273.522,-174.271,758.232,824.682
88,13,3,0,-122.562,-205.168,216.826,322.69
89,14,3,0,93.928,-312.255,298.575,442.123
90,15,3,0,266.723,106.915,292.615,410.117
91,16,3,0,95.4187,171.552,-26.7918,198.123
92,17,3,0,-127.25,107.595,215.798,272.65
93,18,3,0,-59.8585,31.6533,135.844,151.784
94,19,3,0,81.1685,-390.983,128.596,419.515
95,20,3,0,404.925,-204.193,148.012,477.039
96,21,3,0,134.593,290.393,-131.467,346.016
97,22,3,0,-512.492,276.257,276.173,644.389
98,23,3,0,-313.945,372.467,294.47,569.215
99,24,3,0,8.67171,-108.12,19.9034,110.278
100,0,4,0,2073.52,51.4951,71.2782,2075.38
101,1,4,0,672.007,-1311.47,196.08,1486.61
102,2,4,0,-838.298,-1098.69,243.298,1403.23
103,3,4,0,-473.111,-340.885,-427.668,723.144
104,4,4,0,-6.26843,192.918,-29.265,195.226
105,5,4,0,-48.7693,-264.12,-71.4316,277.922
106,6,4,0,-125.265,-110.963,89.1318,189.601
107,7,4,0,167.511,-232.359,261.549,387.89
108,8,4,0,280.951,-529.241,-190.28,628.678
109,9,4,0,-338.686,-500.912,12.68,604.799
110,10,4,0,-273.272,-565.787,389.506,739.261
111,11,4,0,200.665,242.427,42.6388,317.577
112,12,4,0,-85.8418,519.802,-40.0453,528.363
113,13,4,0,-313.274,153.667,-45.8942,351.938
114,14,4,0,8.62319,12.6084,157.661,158.399
115,15,4,0,239.313,14.0056,189.672,305.683
116,16,4,0,17.9524,-60.2968,-120.586,136.011
117,17,4,0,-106.011,-92.6671,636.362,651.753
118,18,4,0,91.8128,81.987,296.556,321.087
119,19,4,0,294.3,-15.6756,372.473,474.967
120,20,4,0,288.118,85.3083,-171.423,345.941
121,21,4,0,73.5433,-272.375,-320.374,426.892
122,22,4,0,337.894,-48.7256,54.5802,345.725
123,23,4,0,66.3456,1810.58,-569.231,1899.11
124,24,4,0,-598.668,1430.1,422.602,1606.91
125,0,5,0,-211.262,295.332,-0.568814,363.116
126,1,5,0,-83.3603,-1125.23,-17.5005,1128.45
127,2,5,0,166.505,-814.97,-140.765,843.632
128,3,5,0,280.339,-295.842,-114.456,423.335
129,4,5,0,-176.85,43.8173,24.6549,183.857
130,5,5,0,-304.105,268.951,61.9668,410.676
131,6,5,0,-74.6242,106.876,-20.7026,131.984
132,7,5,0,94.7419,144.665,105.338,202.485
133,8,5,0,348.456,57.6058,72.121,360.473
134,9,5,0,-34.0194,117.575,-0.964287,122.402
135,10,5,0,182.979,623.581,-59.1763,652.561
136,11,5,0,498.621,659.553,126.284,836.409
137,12,5,0,-362.282,486.614,-59.9387,609.618
138,13,5,0,-629.756,159.292,-45.6171,651.189
139,14,5,0,-45.7333,81.6338,106.679,141.901
140,15,5,0,193.818,-15.065,152.31,246.963
141,16,5,0,-11.254,-117.29,-132.673,177.442
142,17,5,0,15.0338,-45.1737,97.1849,108.22
143,18,5,0,17.133,-45.617,-6.27632,49.1309
144,19,5,0,84.4898,-117.956,332.507,362.785
145,20,5,0,148.226,387.606,32.4086,416.245
146,21,5,0,0.55905,327.091,-139.341,355.534
147,22,5,0,1570.46,-213.175,-130.048,1590.19
148,23,5,0,1164.88,-198.475,-601.082,1325.76
149,24,5,0,-752.297,-214.741,672.103,1031.4
150,0,6,0,-767.603,119.062,90.7528,782.066
151,1,6,0,-438.295,-77.4404,124.891,462.274
152,2,6,0,-8.91112,-134.732,53.9897,145.42
153,3,6,0,385.676,-239.03,548.241,711.652
154,4,6,0,558.524,-103.408,407.244,698.921
155,5,6,0,14.2891,390.802,-373.526,540.789
156,6,6,0,-249.552,111.502,-694.875,746.699
157,7,6,0,118.241,500.802,-39.9031,516.116
158,8,6,0,253.861,655.993,-1.31079,703.402
159,9,6,0,227.289,288.203,-128.815,388.992
160,10,6,0,268.706,1327.43,111.301,1358.92
161,11,6,0,63.6973,700.58,-468.121,844.989
162,12,6,0,-586.102,-52.3962,141.801,605.284
163,13,6,0,-718.254,0.598724,170.862,738.297
164,14,6,0,-165.734,-5.13599,47.9032,172.595
165,15,6,0,40.3895,-52.513,234.097,243.29
166,16,6,0,-12.1564,106.791,2857.21,2859.23
167,17,6,0,-34.3386,430.144,1274.53,1345.6
168,18,6,0,19.0303,259.585,-30.3326,262.043
169,19,6,0,727.523,-80.0011,775.194,1066.12
170,20,6,0,733.165,100.994,103.581,747.302
171,21,6,0,-527.237,579.031,-273.798,829.591
172,22,6,0,-187.671,368.964,-205.112,461.98
173,23,6,0,64.7789,-1314.5,-213.163,1333.25
174,24,6,0,-631.2,-1253.08,421.126,1464.92
175,0,7,0,-604.267,-167.065,61.0289,629.9
176,1,7,0,-337.154,326.181,43.4594,471.121
177,2,7,0,4.91512,488.331,46.652,490.579
178,3,7,0,311.663,589.435,525.481,848.939
179,4,7,0,452.983,370.026,466.991,748.46
180,5,7,0,-89.195,295.19,-403.845,508.118
181,6,7,0,35.3757,524.562,-233.743,575.372
182,7,7,0,639.232,667.194,-1.34596,923.995
183,8,7,0,135.856,505.534,-2.18123,523.475
184,9,7,0,637.42,513.156,185.91,839.164
185,10,7,0,595.355,412.933,143.893,738.693
186,11,7,0,-881.207,-382.299,-381.089,1033.4
187,12,7,0,-1062.26,-596.259,21.1241,1218.35
188,13,7,0,-582.496,-112.736,159.394,614.343
189,14,7,0,-98.845,112.082,115.236,188.711
190,15,7,0,305.744,120.816,220.605,395.908
191,16,7,0,471.403,951.392,1661.98,1972.2
192,17,7,0,167.828,834.017,171.973,867.943
193,18,7,0,-493.012,443.657,-287.406,722.838
194,19,7,0,-74.1013,262.193,221.893,351.387
195,20,7,0,807.257,-427.763,183.801,931.895
196,21,7,0,268.529,116.24,228.486,371.249
197,22,7,0,-323.066,462.305,-192.408,595.918
198,23,7,0,-457.171,-192.899,-266.637,563.303
199,24,7,0,-629.467,-301.56,332.167,772.982
200,0,8,0,218.888,823.105,-489.88,982.546
201,1,8,0,217.1,1142.55,-655.482,1335.0
202,2,8,0,254.343,1173.93,-773.787,1428.83
203,3,8,0,267.371,1137.64,-957.1,1510.55
204,4,8,0,264.28,867.398,-1013.96,1360.27
205,5,8,0,168.826,1115.88,-1217.87,1660.39
206,6,8,0,122.452,953.079,-1126.66,1480.78
207,7,8,0,99.2128,631.732,-1169.43,1332.85
208,8,8,0,99.8235,278.614,-835.141,886.031
209,9,8,0,134.687,421.49,-739.912,862.128
210,10,8,0,-626.749,-718.578,-30.1618,953.981
211,11,8,0,-945.494,-1159.2,192.634,1508.25
212,12,8,0,-316.54,-448.569,55.0459,551.762
213,13,8,0,-9.91322,172.608,28.3616,175.203
214,14,8,0,67.8182,341.283,-261.505,435.268
215,15,8,0,879.7,155.665,894.301,1264.07
216,16,8,0,701.045,444.673,12.4921,830.273
217,17,8,0,-542.074,217.211,-809.58,998.221
218,18,8,0,-552.794,-221.745,-1.36701,595.612
219,19,8,0,-143.897,528.686,-59.951,551.189
220,20,8,0,587.212,143.629,-165.531,626.776
221,21,8,0,362.831,-647.159,116.931,751.088
222,22,8,0,-496.81,-76.3644,-399.29,641.938
223,23,8,0,-699.086,-256.74,-319.035,810.198
224,24,8,0,-848.522,-97.6543,154.038,867.902
225,0,9,0,34.627,522.877,-1900.55,1971.47
226,1,9,0,13.6687,316.108,-1758.02,1786.26
227,2,9,0,1.86154e-13,170.947,-1531.38,1540.89
228,3,9,0,5.133,-94.1554,-1127.19,1131.12
229,4,9,0,431.229,-122.023,-1148.34,1232.7
230,5,9,0,-3.51445,1699.35,-29.7256,1699.61
231,6,9,0,-448.775,792.904,-269.264,950.052
232,7,9,0,-35.2327,-776.18,-830.655,1137.4
233,8,9,0,-74.3858,-817.464,-712.693,1087.07
234,9,9,0,-359.772,118.191,-579.267,692.066
235,10,9,0,-985.336,534.336,-341.713,1171.82
236,11,9,0,-611.197,-140.895,353.014,719.745
237,12,9,0,269.547,-161.459,413.921,519.668
238,13,9,0,207.356,287.955,-34.8687,356.553
239,14,9,0,-115.788,234.958,-424.005,498.39
240,15,9,0,409.134,-65.7958,62.3692,419.058
241,16,9,0,532.949,-86.8025,327.22,631.382
242,17,9,0,-498.59,-58.3366,118.044,515.683
243,18,9,0,-181.537,-451.924,637.582,802.31
244,19,9,0,291.273,24.2243,-78.5565,302.651
245,20,9,0,-368.588,311.457,-781.489,918.47
246,21,9,0,48.5365,-40.6995,-159.108,171.253
247,22,9,0,67.3535,23.016,-312.013,320.029
248,23,9,0,-478.46,-192.897,462.676,692.966
249,24,9,0,-311.296,269.716,-72.681,418.251
250,0,10,0,-194.651,-1089.31,-1338.2,1736.45
251,1,10,0,-134.83,-1117.05,-929.624,1459.52
252,2,10,0,-155.92,-989.25,-1029.69,1436.38
253,3,10,0,-25.5983,-774.064,-749.086,1077.48
254,4,10,0,2057.78,-671.175,-354.704,2193.34
255,5,10,0,1083.75,-865.7,-6.52287,1387.08
256,6,10,0,-2353.08,-831.435,139.245,2499.53
257,7,10,0,-1511.15,-889.281,-4.60419,1753.41
258,8,10,0,994.195,-340.012,-159.619,1062.78
259,9,10,0,1486.49,-39.44,383.629,1535.7
260,10,10,0,-885.835,107.83,-51.2621,893.845
261,11,10,0,-1641.29,171.611,-215.122,1664.2
262,12,10,0,112.31,-84.3175,163.04,215.186
263,13,10,0,386.503,339.473,-59.3698,517.833
264,14,10,0,-285.933,184.277,-1.10979,340.171
265,15,10,0,557.94,163.218,-24.0383,581.821
266,16,10,0,708.504,-530.046,157.032,898.658
267,17,10,0,-907.195,-423.108,-2.23926,1001.01
268,18,10,0,-470.233,280.006,143.813,565.867
269,19,10,0,619.483,846.068,18.5658,1048.78
270,20,10,0,522.288,842.159,-7.45716,990.996
271,21,10,0,74.3904,755.571,76.4658,763.065
272,22,10,0,-649.007,640.381,-304.418,961.233
273,23,10,0,-452.387,11.7671,573.233,730.334
274,24,10,0,76.7027,306.663,-249.572,402.755
275,0,11,0,-20.864,-408.734,15.7427,409.568
276,1,11,0,113.728,-525.416,36.5317,538.823
277,2,11,0,342.991,350.38,37.9413,491.781
278,3,11,0,323.208,317.531,99.0629,463.792
279,4,11,0,339.593,-312.517,-55.409,464.823
280,5,11,0,-163.775,-2403.97,-13.8187,2409.58
281,6,11,0,-472.356,-869.487,-0.884527,989.509
282,7,11,0,456.191,965.659,20.2949,1068.19
283,8,11,0,775.455,1743.53,58.7192,1909.1
284,9,11,0,88.0695,-436.569,-40.1318,447.168
285,10,11,0,-774.285,-1134.93,-190.033,1386.97
286,11,11,0,-803.345,174.65,-231.322,854.035
287,12,11,0,437.409,299.891,58.2471,533.53
288,13,11,0,475.95,251.797,-6.08462,538.486
289,14,11,0,-292.043,62.4929,-158.59,338.149
290,15,11,0,-305.189,503.658,-72.5863,593.364
291,16,11,0,-53.3768,-482.066,-0.663252,485.012
292,17,11,0,311.463,-449.925,-0.934115,547.213
293,18,11,0,1087.64,275.537,10.0895,1122.04
294,19,11,0,853.426,651.412,-3.65895,1073.63
295,20,11,0,-459.086,193.787,-3.58162,498.323
296,21,11,0,-153.242,-297.6,-2.50882,334.747
297,22,11,0,-676.45,-296.205,-3.19771,738.466
298,23,11,0,-812.178,316.002,-0.814121,871.488
299,24,11,0,278.495,109.349,-47.1345,302.884
300,0,12,0,-428.016,412.956,-48.4522,596.722
301,1,12,0,624.284,429.874,-0.441857,757.972
302,2,12,0,687.027,2072.27,-2.54201,2183.19
303,3,12,0,-688.496,1475.69,-246.167,1646.9
304,4,12,0,-663.717,-132.043,-91.3191,682.858
305,5,12,0,526.783,-393.964,-1.75102,657.807
306,6,12,0,1016.55,1176.54,-124.894,1559.88
307,7,12,0,1101.86,1286.74,219.74,1708.24
308,8,12,0,-408.034,1378.25,-220.62,1454.21
309,9,12,0,-1391.97,-671.098,-2.02477,1545.3
310,10,12,0,-274.616,-385.549,53.7038,476.389
311,11,12,0,-206.472,302.735,-236.483,436.123
312,12,12,0,189.458,945.335,-7.95496,964.166
313,13,12,0,149.105,114.507,52.4635,195.184
314,14,12,0,-34.0722,-492.916,-1.26636,494.094
315,15,12,0,13.3816,-209.804,-1.72606,210.237
316,16,12,0,-245.079,61.2287,-1.29988,252.615
317,17,12,0,-149.592,-153.989,-97.1654,235.652
318,18,12,0,631.104,-55.3677,183.278,659.506
319,19,12,0,537.733,-1167.13,-2.69316,1285.05
320,20,12,0,-426.724,-498.998,69.5636,660.251
321,21,12,0,-415.602,-230.518,-1.6241,475.254
322,22,12,0,-35.4056,-631.339,175.485,656.229
323,23,12,0,-46.8321,761.891,-59.906,765.676
324,24,12,0,-336.602,181.45,-8.16868,382.481
325,0,13,0,12.9726,-256.334,-9.05611,256.822
326,1,13,0,1773.04,809.834,15.7994,1949.3
327,2,13,0,1388.81,59.7442,-5.67672,1390.1
328,3,13,0,-1881.1,330.1,-4.73035,1909.85
329,4,13,0,-1530.06,440.624,52.9554,1593.12
330,5,13,0,1144.81,500.18,-0.89712,1249.31
331,6,13,0,1208.35,91.4922,-3.8321,1211.82
332,7,13,0,657.894,-542.915,317.242,910.068
333,8,13,0,-1182.39,-1269.34,-5.4803,1734.73
334,9,13,0,-1675.73,-92.2724,1075.58,1993.35
335,10,13,0,199.548,398.174,-90.8808,454.556
336,11,13,0,527.539,-13.2157,-3.78437,527.719
337,12,13,0,249.181,1008.05,-2.60378,1038.39
338,13,13,0,-962.302,227.806,-243.123,1018.35
339,14,13,0,-616.353,-323.946,25.5765,696.768
340,15,13,0,248.956,-307.296,-0.542222,395.487
341,16,13,0,2.43743,-89.397,-0.816647,89.434
342,17,13,0,194.866,-138.273,-0.548328,238.941
343,18,13,0,74.4951,858.395,80.5931,865.382
344,19,13,0,409.795,-472.063,-0.73496,625.121
345,20,13,0,477.53,-272.124,-2.33149,549.629
346,21,13,0,-285.583,362.753,-1.93131,461.683
347,22,13,0,315.959,254.138,-1.61603,405.485
348,23,13,0,0.610155,249.933,-2.72287,249.949
349,24,13,0,-882.387,-208.235,-1.61756,906.626
350,0,14,0,1704.32,-361.967,161.802,1749.83
351,1,14,0,940.362,-73.3222,180.326,960.299
352,2,14,0,207.293,-1772.18,-216.007,1797.29
353,3,14,0,-307.616,-1205.87,-2.99004,1244.49
354,4,14,0,-493.636,-84.0913,-313.367,590.717
355,5,14,0,177.651,-92.9986,256.464,325.55
356,6,14,0,-26.543,-1196.38,-72.5046,1198.87
357,7,14,0,-258.969,-1399.86,161.714,1432.77
358,8,14,0,42.6087,-1992.93,2195.86,2965.7
359,9,14,0,275.543,23.9228,83.3425,288.864
360,10,14,0,-195.56,-93.7978,-2.40761,216.904
361,11,14,0,403.401,-468.972,-1.30367,618.603
362,12,14,0,430.48,-840.31,43.1705,945.144
363,13,14,0,-1182.89,-605.522,-204.755,1344.55
364,14,14,0,-569.174,73.0868,-0.454782,573.848
365,15,14,0,247.931,-148.883,-0.956197,289.2
366,16,14,0,-76.056,-103.76,-37.8959,134.115
367,17,14,0,798.2,432.665,207.987,931.44
368,18,14,0,297.314,131.71,-3.07563,325.196
369,19,14,0,-592.785,183.842,-62.3605,623.764
370,20,14,0,408.092,-265.204,3.47719,486.708
371,21,14,0,110.659,-448.829,-89.2135,470.799
372,22,14,0,-148.225,505.455,197.476,562.541
373,23,14,0,-509.204,157.334,-171.915,559.998
374,24,14,0,-1252.94,-35.8021,187.199,1267.35
375,0,15,0,590.262,-6.30166,23.9336,590.78
376,1,15,0,362.829,-1120.36,304.828,1216.46
377,2,15,0,256.259,-1161.37,-165.718,1200.79
378,3,15,0,-193.016,-1022.43,35.4773,1041.09
379,4,15,0,-417.19,-932.168,194.381,1039.6
380,5,15,0,32.5219,-869.536,583.68,1047.78
381,6,15,0,-98.5086,-1222.43,-37.6082,1226.97
382,7,15,0,-138.651,-1013.47,167.62,1036.55
383,8,15,0,241.395,-981.791,376.845,1078.98
384,9,15,0,223.402,-615.895,320.074,729.166
385,10,15,0,-293.348,-1086.07,-155.271,1135.66
386,11,15,0,-218.973,-811.471,-85.9409,844.879
387,12,15,0,112.631,-2330.82,6.69992,2333.55
388,13,15,0,-48.9052,-1447.17,-24.7928,1448.21
389,14,15,0,-159.714,-62.8567,79.165,189.015
390,15,15,0,72.1097,-628.249,144.505,648.674
391,16,15,0,583.986,-414.499,-167.913,735.557
392,17,15,0,430.336,691.835,23.2569,815.087
393,18,15,0,-174.328,-1150.23,-107.179,1168.29
394,19,15,0,12.8814,-251.448,-128.682,282.757
395,20,15,0,-155.141,61.1074,-87.5586,188.333
396,21,15,0,485.076,-1377.92,-134.168,1466.95
397,22,15,0,922.122,809.942,215.381,1246.08
398,23,15,0,-540.647,762.778,-186.776,953.423
399,24,15,0,-1268.66,747.057,-1.52786,1472.27
400,0,0,1,-31.2658,588.527,-15.7666,589.568
401,1,0,1,-28.5902,364.595,33.085,367.207
402,2,0,1,6.9622,1001.83,-8.47425,1001.89
403,3,0,1,-7.84182,2005.02,0.741518,2005.04
404,4,0,1,6.67164,408.591,5.32839,408.68
405,5,0,1,58.3355,624.683,46.948,629.155
406,6,0,1,-26.8966,902.282,-16.7425,902.838
407,7,0,1,-40.631,258.964,-23.9629,263.225
408,8,0,1,27.362,970.46,-17.4634,971.003
409,9,0,1,-0.498166,1197.87,28.3759,1198.21
410,10,0,1,-37.1273,532.735,60.5478,537.448
411,11,0,1,-18.611,406.854,30.565,408.424
412,12,0,1,6.49659,570.552,-1.24779,570.59
413,13,0,1,18.0745,303.573,-17.9096,304.638
414,14,0,1,-4.54288,645.806,-5.55305,645.846
415,15,0,1,-21.2712,161.064,3.98932,162.511
416,16,0,1,-4.37824,5.93358,0.749542,7.41203
417,17,0,1,0.0752281,9.13723,0.263236,9.14133
418,18,0,1,3.02514,16.8938,-1.24084,17.2073
419,19,0,1,5.76674,288.756,-9.37728,288.966
420,20,0,1,-2.22576,517.526,-10.0771,517.629
421,21,0,1,-3.88897,102.525,-1.98617,102.618
422,22,0,1,57.3672,199.314,-0.00867501,207.405
423,23,0,1,92.585,939.051,0.841262,943.605
424,24,0,1,72.8474,1354.95,-0.409204,1356.91
425,0,1,1,-255.198,290.577,-31.8775,388.043
426,1,1,1,178.064,162.488,261.017,355.302
427,2,1,1,827.177,1196.39,-213.608,1470.1
428,3,1,1,-304.464,1686.58,23.6749,1714.0
429,4,1,1,-683.499,408.567,51.9092,797.993
430,5,1,1,305.181,684.445,200.544,775.77
431,6,1,1,-209.756,540.834,-90.7959,587.148
432,7,1,1,-6.54208,776.561,-402.749,874.813
433,8,1,1,496.817,845.571,-327.376,1033.92
434,9,1,1,-219.361,646.399,331.774,758.963
435,10,1,1,-432.638,670.436,581.741,987.463
436,11,1,1,0.297596,941.034,300.059,987.715
437,12,1,1,-45.1435,944.574,-73.4963,948.504
438,13,1,1,55.7016,494.71,-214.901,542.239
439,14,1,1,-75.7976,377.603,-19.6328,385.635
440,15,1,1,-341.207,110.699,112.082,375.818
441,16,1,1,-80.3416,74.0446,23.0762,111.669
442,17,1,1,5.55532,98.0061,15.587,99.3932
443,18,1,1,142.835,138.248,-31.2038,201.216
444,19,1,1,256.083,490.957,-269.01,615.616
445,20,1,1,-95.3415,649.777,-208.213,688.95
446,21,1,1,-162.995,217.331,-3.56806,271.686
447,22,1,1,475.63,257.762,-9.63285,541.071
448,23,1,1,670.404,459.579,-2.28283,812.809
449,24,1,1,488.748,594.465,-3.34001,769.593
450,0,2,1,-287.444,-125.969,49.6777,317.742
451,1,2,1,877.222,1137.55,25.9403,1436.74
452,2,2,1,1531.05,717.552,-186.545,1701.12
453,3,2,1,-795.665,-245.829,-7.4365,832.808
454,4,2,1,-995.464,-116.329,162.977,1015.4
455,5,2,1,190.603,-9.20914,-85.2055,208.984
456,6,2,1,65.2195,105.104,262.747,290.407
457,7,2,1,264.106,772.573,-96.5721,822.161
458,8,2,1,-102.801,425.948,-85.0963,446.364
459,9,2,1,-175.633,-93.5407,-18.8641,199.882
460,10,2,1,257.508,235.477,6.82235,349.008
461,11,2,1,255.527,483.375,301.684,624.467
462,12,2,1,-439.828,250.052,-84.6755,512.976
463,13,2,1,-548.896,-0.363414,184.741,579.152
464,14,2,1,-388.553,-158.04,345.778,543.611
465,15,2,1,-324.829,207.257,448.852,591.555
466,16,2,1,-17.0715,287.207,197.805,349.151
467,17,2,1,64.2787,344.609,226.541,417.382
468,18,2,1,395.976,235.719,129.44,478.66
469,19,2,1,517.295,98.3144,-374.212,645.984
470,20,2,1,-275.851,66.889,7.55326,283.945
471,21,2,1,-395.904,468.549,183.725,640.338
472,22,2,1,299.615,428.558,-4.09615,522.922
473,23,2,1,429.288,-306.604,60.4679,530.991
474,24,2,1,342.62,-683.926,17.7281,765.152
475,0,3,1,2271.85,-148.056,12.4381,2276.7
476,1,3,1,1021.59,1094.83,-91.7139,1500.23
477,2,3,1,-556.207,-267.262,-145.953,634.111
478,3,3,1,-1138.35,-1586.4,55.3797,1953.35
479,4,3,1,-446.879,-80.9896,200.038,496.261
480,5,3,1,526.614,-419.087,509.06,843.859
481,6,3,1,572.026,-261.163,730.232,963.669
482,7,3,1,314.302,-443.082,504.373,741.283
483,8,3,1,-369.297,-497.464,-142.64,635.765
484,9,3,1,-409.832,-183.765,-47.6942,451.671
485,10,3,1,144.278,-370.624,40.1044,399.733
486,11,3,1,14.8724,-699.565,179.47,722.372
487,12,3,1,-528.882,-640.262,539.063,990.071
488,13,3,1,-352.39,-389.845,816.876,971.311
489,14,3,1,131.823,-305.786,926.806,984.811
490,15,3,1,104.04,125.114,466.472,494.038
491,16,3,1,57.0102,119.232,44.9278,139.589
492,17,3,1,-45.9322,383.483,321.047,502.235
493,18,3,1,-103.46,157.514,172.575,255.532
494,19,3,1,87.2525,-52.6249,166.773,195.437
495,20,3,1,274.893,-299.472,129.768,426.719
496,21,3,1,198.674,164.921,-198.928,325.949
497,22,3,1,-299.523,282.977,230.758,472.271
498,23,3,1,-442.08,78.7724,591.749,742.837
499,24,3,1,-265.895,104.045,329.974,436.358
500,0,4,1,2198.32,17.3819,45.2003,2198.85
501,1,4,1,758.017,-1232.64,128.993,1452.8
502,2,4,1,-1150.17,-1157.66,205.864,1644.83
503,3,4,1,-609.393,-558.406,-260.158,866.522
504,4,4,1,171.85,343.732,-15.6531,384.616
505,5,4,1,10.4291,-200.165,-176.792,267.264
506,6,4,1,41.2251,-509.666,-132.495,528.217
507,7,4,1,27.805,-825.13,-87.6188,830.234
508,8,4,1,156.516,-682.814,-230.033,737.325
509,9,4,1,-48.7927,-160.528,-3.12588,167.809
510,10,4,1,-258.292,-372.65,200.877,495.918
511,11,4,1,-14.1112,-58.2039,122.822,136.646
512,12,4,1,-130.108,110.717,18.7193,171.863
513,13,4,1,-214.421,22.4454,209.847,300.858
514,14,4,1,126.406,-83.3397,325.418,358.916
515,15,4,1,100.189,-56.1469,128.315,172.207
516,16,4,1,241.298,-113.237,154.596,308.135
517,17,4,1,102.56,-151.974,553.364,582.946
518,18,4,1,-40.1321,10.9269,283.347,286.383
519,19,4,1,60.31,86.2799,151.959,184.859
520,20,4,1,-58.3052,27.5067,121.99,137.977
