ID,X,Y,Z,Gradient_X,Gradient_Y,Gradient_Z,Magnitude
1972,22,14,4,176.242,676.178,114.619,708.107
1973,23,14,4,-128.508,-278.748,33.4568,308.762
1974,24,14,4,-640.553,348.524,-249.099,770.602
1975,0,15,4,495.057,-836.321,309.802,1020.04
1976,1,15,4,207.108,-899.678,-39.8522,924.069
1977,2,15,4,158.176,-966.176,288.103,1020.55
1978,3,15,4,-182.655,-753.805,-112.336,783.712
1979,4,15,4,-318.636,408.852,-12.4938,518.503
1980,5,15,4,9.39595,-964.245,170.371,979.225
1981,6,15,4,948.442,-1265.98,15.2042,1581.92
1982,7,15,4,911.415,1299.14,550.244,1679.64
1983,8,15,4,-496.352,-984.722,-538.307,1227.12
1984,9,15,4,-947.233,-3099.95,228.308,3249.47
1985,10,15,4,-830.955,-1088.29,33.2426,1369.66
1986,11,15,4,-80.0693,-948.922,15.5744,952.421
1987,12,15,4,85.4945,-2309.12,3.15956,2310.7
1988,13,15,4,-67.63,-1128.15,33.6298,1130.67
1989,14,15,4,235.683,101.546,-39.0825,259.587
1990,15,15,4,410.577,-82.9151,182.242,456.794
1991,16,15,4,345.809,375.348,390.175,642.423
1992,17,15,4,79.7043,448.09,16.4735,455.422
1993,18,15,4,-479.913,-1013.39,0.492463,1121.29
1994,19,15,4,-98.5338,-341.974,95.0206,368.354
1995,20,15,4,314.063,-109.906,0.425158,332.739
1996,21,15,4,735.159,-842.669,345.326,1170.38
1997,22,15,4,218.416,724.182,0.927318,756.403
1998,23,15,4,-460.566,-758.321,-40.8346,888.166
1999,24,15,4,177.834,60.0659,144.803,237.067
2000,0,0,5,14.9859,21.7489,-1.73205,26.4687
2001,1,0,5,36.2823,180.899,-24.3369,186.1
2002,2,0,5,12.7982,555.269,-26.044,556.026
2003,3,0,5,49.9086,1684.87,6.63854,1685.63
2004,4,0,5,30.1637,854.138,15.0988,854.803
2005,5,0,5,-78.0424,651.401,-36.5224,657.075
2006,6,0,5,-48.1672,731.5,5.53643,733.105
2007,7,0,5,-8.13422,225.475,2.93032,225.64
2008,8,0,5,-0.708741,28.1327,1.69358,28.1926
2009,9,0,5,1.6682,163.764,2.94751,163.799
2010,10,0,5,5.81399,231.834,-5.25907,231.966
2011,11,0,5,40.3372,213.405,-54.8969,224.015
2012,12,0,5,78.8384,910.899,-87.117,918.445
2013,13,0,5,8.73973,1254.81,-28.0832,1255.16
2014,14,0,5,-77.226,946.144,54.958,950.88
2015,15,0,5,-43.4739,398.489,34.0326,402.296
2016,16,0,5,29.3742,159.796,-3.17947,162.504
2017,17,0,5,-0.326654,825.106,-24.7375,825.477
2018,18,0,5,-35.5305,382.332,-1.83435,383.983
2019,19,0,5,-5.18058,131.597,-2.58488,131.724
2020,20,0,5,-2.21588,67.7234,-4.90404,67.9369
2021,21,0,5,1.2612,80.3888,-9.2284,80.9266
2022,22,0,5,68.0043,155.202,-2.95642,169.472
2023,23,0,5,88.2778,1068.22,2.09005,1071.87
2024,24,0,5,45.3595,1310.68,-0.270835,1311.47
2025,0,1,5,174.136,360.018,-0.161865,399.921
2026,1,1,5,303.042,614.228,-224.534,720.781
2027,2,1,5,764.785,979.562,-60.6564,1244.23
2028,3,1,5,199.343,1699.7,-2.57462,1711.35
2029,4,1,5,-486.573,638.502,99.1726,808.871
2030,5,1,5,-139.361,619.9,-298.103,701.828
2031,6,1,5,-261.13,731.457,68.9417,779.725
2032,7,1,5,-359.818,286.097,89.637,468.353
2033,8,1,5,-31.5642,283.199,50.5827,289.407
2034,9,1,5,103.519,326.406,107.05,358.771
2035,10,1,5,30.6346,293.15,-44.3676,298.067
2036,11,1,5,379.87,179.001,-528.358,674.911
2037,12,1,5,599.542,490.845,-671.402,1025.26
2038,13,1,5,26.3625,602.18,-133.731,617.413
2039,14,1,5,-505.387,332.183,576.511,835.539
2040,15,1,5,-436.648,403.012,227.443,636.247
2041,16,1,5,242.683,227.884,-168.687,373.204
2042,17,1,5,110.941,582.66,-270.915,652.07
2043,18,1,5,-382.285,532.424,125.872,667.428
2044,19,1,5,-162.485,91.8477,6.3484,186.755
2045,20,1,5,-27.8201,63.1566,-82.9362,107.894
2046,21,1,5,45.0004,508.092,-355.082,621.503
2047,22,1,5,561.921,999.733,-222.256,1168.17
2048,23,1,5,666.019,474.684,-1.62013,817.869
2049,24,1,5,287.822,551.543,-2.21061,622.131
2050,0,2,5,523.405,771.405,639.808,1130.65
2051,1,2,5,655.826,1117.92,176.561,1308.06
2052,2,2,5,1098.27,669.192,45.1468,1286.88
2053,3,2,5,-291.152,58.1612,-5.09161,296.948
2054,4,2,5,-1049.63,438.683,183.334,1152.3
2055,5,2,5,14.9131,489.249,-473.165,680.788
2056,6,2,5,-381.97,503.232,-2.18973,631.782
2057,7,2,5,-456.393,877.334,-377.639,1058.59
2058,8,2,5,39.6001,854.099,-176.31,873.005
2059,9,2,5,11.6191,339.561,-438.6,554.803
2060,10,2,5,-141.591,102.537,-344.613,386.419
2061,11,2,5,238.033,-41.478,-486.101,542.839
2062,12,2,5,502.017,-168.282,-619.901,815.24
